txid,vout_index,output_address,value_rvn,script_type,asset_name,asset_amount,asset_type
000ad969c1eace7768a99f3851a29af9ca76cd6c79ae8db909f145e696934057,0,,0.00000000,nulldata,,,
000ad969c1eace7768a99f3851a29af9ca76cd6c79ae8db909f145e696934057,1,RBMHJtukwisut1iq3nYrqMLbRu6Md8FCUV,993.72072000,pubkeyhash,,,
002afe1a48d2cd2f8fa9162440cea2dd0b07073caa4599b9452522ecb2f4dbd7,0,,0.00000000,nulldata,,,
002afe1a48d2cd2f8fa9162440cea2dd0b07073caa4599b9452522ecb2f4dbd7,1,RF9J4y68AcCdzn4Qd2T4ffPTsTUteMZViT,989.39903000,pubkeyhash,,,
002f7561752d9105a00775ce2906266434a4dbb8bdccd919ae84499a1303a1e7,0,,0.00000000,nulldata,,,
002f7561752d9105a00775ce2906266434a4dbb8bdccd919ae84499a1303a1e7,1,RJXFHNvEHAipwFv8gP8sXJtHGrZSiMKqhi,992.09247000,pubkeyhash,,,
00503884d264fe20e12a4d74aed29176f2493cb238e8c6c12beda3eba0a042d1,0,,0.00000000,nulldata,,,
00503884d264fe20e12a4d74aed29176f2493cb238e8c6c12beda3eba0a042d1,1,RUadbuVNP74NYyV2vjJGDJrrUmBZg8pVUC,994.81304000,pubkeyhash,,,
0060d801b7282552db16c7b0a3e1476c9c36a7b170f556fbd289d496f18eec0c,0,,0.00000000,nulldata,,,
0060d801b7282552db16c7b0a3e1476c9c36a7b170f556fbd289d496f18eec0c,1,RGTiYsdnxoVemyvbBEKc1WmuadE4d5KUQp,991.97931000,pubkeyhash,,,
0069fdbf28c9b5fa234dd61701ab0559fc9c18bf4126ef6ad2329b0dcd959285,0,,0.00000000,nulldata,,,
0069fdbf28c9b5fa234dd61701ab0559fc9c18bf4126ef6ad2329b0dcd959285,1,RVvXrXMAFmS8d63QrxCUZszUiwBYbwVtJp,994.88756000,pubkeyhash,,,
006bac056ec5f9f49431c45255983208b3fe3c997463d209a6b245d513483012,0,,0.00000000,nulldata,,,
006bac056ec5f9f49431c45255983208b3fe3c997463d209a6b245d513483012,1,RBXPXyFLYps24oS5o2yQRFXp2KzpASNtcS,993.37863000,pubkeyhash,,,
006db7276b04746c9245c9156c3ad60533ee672c6747f546a4d089b779218bb3,0,,0.00000000,nulldata,,,
006db7276b04746c9245c9156c3ad60533ee672c6747f546a4d089b779218bb3,1,RFKjurWgyryfff7ePHjRmnMwhzo7E5zexP,991.94895000,pubkeyhash,,,
00878ac58f9488adb9593f7e61f1f46359a84be27cb7be68f3180d839ac38f9e,0,,0.00000000,nulldata,,,
00878ac58f9488adb9593f7e61f1f46359a84be27cb7be68f3180d839ac38f9e,1,RTnjnxzoHYnZD1xGUevZ8yCRGnqA7agcwD,992.92323000,pubkeyhash,,,
00924a0f8009e330441d1d017da2508e36005d5c34877884023943e0c21061e5,0,,0.00000000,nulldata,,,
00924a0f8009e330441d1d017da2508e36005d5c34877884023943e0c21061e5,1,RJydiuBYKUemaeDjr5asX21LBnWr749rD2,991.67019000,pubkeyhash,,,
00a76d82d0442d809f6cbd209dc750be22952b47ed4144bf56fc0c0c4f945ffb,0,,0.00000000,nulldata,,,
00a76d82d0442d809f6cbd209dc750be22952b47ed4144bf56fc0c0c4f945ffb,1,RYE7h2FtKtgwpTV2HxyMhpX9F6hDfWL6nm,990.49443000,pubkeyhash,,,
00c6e69bd47363272ce8418446da385efd0898d0eb8cdca2932d9d81449b3c77,0,,0.00000000,nulldata,,,
00c6e69bd47363272ce8418446da385efd0898d0eb8cdca2932d9d81449b3c77,1,RNjbxCNLScegMFE4PwBAbBsd2QAw4gvuHD,992.51199000,pubkeyhash,,,
00e50bae3367c8e6ed4ab4143d1b7497e71f849e1e1d3bad41f34f2b137d4bf3,0,,0.00000000,nulldata,,,
00e50bae3367c8e6ed4ab4143d1b7497e71f849e1e1d3bad41f34f2b137d4bf3,1,RT1k9dEfLqHWasbUWQQ7Mjy1wPKaXu6peN,992.99223000,pubkeyhash,,,
011357586c51952ebdbc34a625307182f3881a8f58bffcf542bcdf6d8285aa78,0,,0.00000000,nulldata,,,
011357586c51952ebdbc34a625307182f3881a8f58bffcf542bcdf6d8285aa78,1,RWNFHU194VKWzz6Fbh21TixHBuEtEEXod1,989.21135000,pubkeyhash,,,
0114812e432dec4f7139f95ece6e9dd5ff2ed864b50cf47e71dc6af3383e7c96,0,,0.00000000,nulldata,,,
