txid,exploit_chain_height,replay_status,not_replayable_reason,confirmed_height,out_value_rvn,n_in,n_out,from_forged_block,asset,output_addresses
acafeb3499de97d5afe4fab1dba9a9ba308cacb54c5ba436aea814de6fe3a8dd,4487895,NOT_REPLAYABLE,input-already-spent-elsewhere,,21706.96431592,18,171,False,,RHaarQWhDLmbPHYKzKFWDkHHLdRfgmjqx7|RUWbxz6AvUuTrYf1Uq1xLuLX7CkCRngJJz|RCvXeLet6cHSv5cUnBL9D5YyGFqwJga4Wu|RBxoXvYf3iEGHKi17YYModSC44tXK9ryTJ|RSqck3jhe1a3wmpAsekzLA8KDfFJqbZ8gU|RGf2ajjbuJkbRRgPmScXJ3D3Vi8V6QFCDs|RG6NLdpPCmzBgR5iSouAyFrpo13H5929L7|RJVvRDWPvoF43NyRULNQkeVqBy7sTYviEM|RGVVUtYZBz3tA9oTVQovrYnMaHW4ovcFoX|RSLoaKKVNKP6CmWf9fUWPcAJBsdv7oiZeT|RJwPNdphF9iRaj51HdNUWXvGto8hmXaB4e|RRqhLYUa1XGJswHi6MqGMCuqFZNADe699p|RGNVea34wypiod52zGbYqvUAk9ouqXdCNn|rNpYmffGQKAiZSVF6ybjXX7UouQ1ZdbwZ3|RQxUsrg7fUZjEt4yo5tRZJvZsNCq5G3yVy|RT2k14UMRX8kGPUGD5SABjm1GrvdezVwJJ|REd5Vq8yT6c1fsTjFahSFYK7rEc1g7uPK5|REoXXyy7rvZW89VKTiEECAu3PdvihL7Ak8|RFPhRxdpoxnkmuCrfbBtGmhC1ne84VJJcD|RQDDqXvJjDBL3njX4YcLQQS2iMmBHg6gZo|RY6xJpGGaqwSNFrz7fo8wT7T4Rbe1JqEf7|RYL9JrG3fANCJHQEWhpPLebaK273Vtcyay|RHbgnqNpjR8gj2JJtixJyhp2FCar1JK2iF|RUo664sUpqBAVzP5bg6vjkpkPtQftmSxQ3|RVuXr5KQJNE9pi3UFf7xe8HRSq6E799XUy|RGu5wrk84NK5t64URkBPoSitVhisKj1Mfw|RGW4wjmXZuF298wyDVd5zmUiyj9XB7cHvF|RBC1Gz32uXvrzxoXgry1iWWsLpvsM2KQZJ|RDrrAiPNho8Zm2j5G2YXq6bhvfqeehQMUM|RXJzjeENK7oX6cATR3pmfH7rtFanKr2dXu|RUujGmoPmqNBstEcTXF28fX7x7KQv3D4pm|RQd8Cq8wo9VRgkT71KSUPyRdVxCebHuzQt|RAPLNpy8m8da2W3gLo8uyvBCYAUgNC7Jqn|R9odMghWeQcprqYokf2hUwKEHZWphNuVG3|RPCyNnbg31it4QKG4cuogGivbCFP9oepex|RJPy6xDaskuJgsBKb8S5sGafL5nYX7ZkUn|RL1aE64vUjyQztU2b5uczsiaJG8m2414hB|RQ5nJ1q8QqashXhV9kzUsg7f31oC3PcApT|RT7pwGg2gfkpqq3cGWopi5SDTg9Jog3qPZ|RGzobHWoChkVBrdPSR2PEmijGb3d9R6HU8|RRrc5uiSsPCF3ASYaCjNHmPwKpUEgwYi2x|RQLzq1CmLLESMYVSML5QwUaiPWtj2U1dPG|RKfwTNr6trg4NQBoEV2MbCsrpC3UNgDp8D|RLc83WRdTTPQ4Dh6xj4Mpv9wBZsTtbsN8g|RGwqsbfmrMiJp6KtDc3oj8TWbscNvS6Tfh|RRmdhXQ5G8gsiXmdAsDvW6iz98jnqub7op|RLceUh5s5pGegDLMtYZzbAyW9Tc5L3HoU1|RXN26rf38pVneqWPN4sVgvFdHLLXme24ce|RFDTBu78mWUqPhm1f37RAj7Uf4ZaDdrsF9|RNwFzkcoSxnGMWorLRPJoA47jZgKihpxhH|RJpsQe8sANRjvFieJ4k9wXcf6HZA5N5ve4|RTNC9Wsv4EMzKjeJwYvifzuggxPHMRSvsJ|RV8qFwvjzxT8JdTG9mYUSmvyVNndPGhNCf|RDGDgTePF1EUD2tr6jZk3FjRUqoMqrEFHt|REdWXxnC3kBvizqjxU96NkXPx4xP8NCkhQ|RD38zpgK1dfom1QGTfwuVmugjSWsi7hMDa|REXK89W1Wy1cmEkPhyoVgMe9jggqoNJ8zg|RTz7sG1EkHaP6A7uF4jzr6LacEqwTaKjDv|RSn6QtyaN1cGEopj2phZMwy7u37k6r2XdL|RFxDAJocq4CpnS8j9ycz7G9xSxQCf8GGMt|R9urpXgZ3nX73pKvxevMYhvj2bFtvMi3Vt|RAz8bh4RzXa3xkokkSkzxMZ3nSRDyhcF3k|RYVhCiHTLu3FRgKufyFXwuTxEB4u4yVt2u|RFeFcsopVuiacAKZdDckLxDbVBNjpTFEVG|RCqHd3LYYXEHxq4Z1LPvSJnwTou4B7g8Lu|RAxtkZpBCiXRFa133aVAshyLgwspxvKxfL|RC86Va9tG8Jyf8wV7quin5EST9G5oN8Bqg|REQCEEPQrrNxNYjMNDeKxeuUSe1ustgyrj|RGFwCBpauaPga79tefBSkwEZnFMozK5dEw|RQCjdMSt2z9465euQwAcFdimZjomwzSCss|RE3hZXKv4waPnoAtXzjtuo59XGyfD9ZGB5|RHiH48fuLacFSQbq61CcaJe5tfHS1gTKXe|RWVbHfZ5QCmweHTdGn568kwrJzPqLf3dux|RBx3wePPHb9UEkEiXd5WMG6U5J5xGNuKi9|RCvFtayPt35XcHEfqYbcqkeydVYhJGvvmk|RQgxZq2gyYRi8BT9iXCZzyHdzFuZ9AHhwr|RG4wWCVy9VSb8PPanCzBzRBd5W34pxe4JG|RULR7pq6ubEyKnF5EJhmqiegZd4raApxLS|RHC3Li7zwFuBUxv8fGwVM5747VoJuc2hHS|RXffuLe1NFWLFLofu5sLdcFFShez4kaajy|RTbhSfzCSJHJxaWvziPwazUFZuvJ7iVscG|RDAwX5MNGYp6bb4HAXDS4Gyx9PAYxJAwAk|RY8rHgfAaMzU589Src9YxmbyAos1dR6s3B|RJt7dPm3176tAEewe4199rBMQqDfG9majF|RFyY6Syh24PqB34nkriQgfeLHZ9tiU3qL9|rBMrPSux6x1Ukdr7d1RYyzoihQyMijK8rT|RKuFrN93GtFxKFaViC2YbmNwoJaiiNbxmK|RLCP4cmbmP6n9ezjDx21eeLPtF2z84yGuQ|RRHyHQYSQMwhYtkJk4BJXkUVY9iZxCPhqR|RGemdKq6d3FoKhbYMSQgMD5CE1iQVikTyX|RT8Dph66nA2tKvHqytDnbhRvgDL2BkvWJY|RJbJ1UvqtuVpjKL7n2udZThatnawCSNw7z|r856vXtj7yCZQ29AaK4wTqNtX6Qm6SryQf|RRiRB21uQP8DMCiwFeHHD68HJT8hch4uSh|RG6FbpvMhStEMPYtEKXWwGN47gf4QYDSk5|RHqqZM9VbWM2rAcg6xf9Fm5HHw3r28x1uX|RHqTcwXdGMdovuz1coJSkGwKFwBa1Z8gDW|RN49ZmYK1tsBn2tZwSwsnecfqtxe9VtcHw|RY7gHJCwb8a2AnUuSQxhuUPXQCsqBCozWP|RYWCrzFQ4sfXU2aErC5bWS57WFN6tDyLAi|REFx5ppkPRAxC3PpBDt2wpL1yYa8mGRfZb|RNU4dBFZM6jPqrbw8ANtJerZVU2SLcFrV3|RRXNkAXEL1iPNW5k16jMcaR1e3AMqBJzmP|RJMp6MAR1CjCM5Z95SBDQQvo4zp66vFocK|REDPAUpkYyTXjb6FZUwMyDtKEZY7EgYNQE|RAMq7ntFbi5Bf9kcKXSQVdkfMvrYHVkR2a|RGiXxnhHXzSiLazRWZF18KmqhqqyweUcxb|RL9LV8Jx4mE56CANUiFaVM7DGCd88sBCWV|RBE8uQMb1gHow4yc1tBSgvAy151KFprFhf|RMNJuM7LvMTKrE1g8NU2FuCCFMpRPXicjp|RCvcjBxHAWTwM2fzRsZDk3RKLYXnGWCGvC|R9MdoDYPN8zeFmaV6aoKHjyapoCtTp2WNZ|RN9LTRnA2msKdcTarkVxaMF6ARXzBFVfoR|RQXn5sAzrgBKFtBrWJTtxHWCFULxz2Spdx|RF38G5qduZMDjeHH4ufcGES9cZ5gRHJEoS|RWNceZiygZCs4y7NrigXSwm1so4CNthDSd|RJJSXsYq7kb5ZTMHRi6zDajCxFFXvhhbVG|RLAUqscxMhFXFNE2KLJwKCSyY22bGQPp2a|RDAKXG9iscTAwZH8ERYD5yof86uMGQhRfg|RCyMESFeTyZDtyzgqSefXrP48VSmU1sPcw|RHmbZw8Ff2rvGwctp4Jqq6B8PFhYgD5hAp|RNZ4Lfz7aBKLhbHUt5E4Pt553s6nA6bP1d|RE7mTG2rKJVCa7Fuxo2uSF4QnUkcChfTap|RPU3tp3WwtckZUGzVmRZVbba7BN9RBmbSK|RTSj36HuNwVaDi74ke7NjyT58tVWET3Gjc|RVfkj5NbGEf2PoS4hVnzvvoNtMu3RJgYFX|RRe7GiKEebp217DMR7DLg3v8PnSsxYLPqx|RNGyEhNQSUXj6UJacyeLLbeFmEH1pnr7Vd|RPbu82RHYvnpP1b4qSSH1L7dbeFmLVEdWh|REaaoiT53xTTfZUHR4829ABB8duCZrsk44|RN4iedGkuQza2kSpXc4ikSzLDEWuiW74kc|RLy9Wm2JapdXwGuBc22bsLhL1No23ts7GA|RW55hddB4ghCRhvtL5HufTUiXBFzLq4ViC|RVoZgstgS8otvwyeFtybkN1mPGmwBRnYkQ|RGmJbKTTsmXaMMZo8oyT6TxY7ZpT55HRLx|RD2V8wT1E8eFhTUtbb4RcSKzeCrutx3nZW|RMdmMkhUTfJFWxY6TXNnpjiQZi2JPgL81k|RXfcLCeVXYH8xkiL5u3Mjhf6x1aqtoUTD2|RFhBmd61YRf1x7AhhbtN1LmQndyJUz9V1n|RMXnopJA3nPJfNEUH8FdT9J9YHheyNKX19|RQxLmLku1R2LrZh1CiWLzgQwKVDMJmTTWH|RFXP39kXgSDvFmvhPc53Fa3GDsJbXbtxFx|RNSMFtFw3U972r278PHm1Gb4gbjBU4QC3p|RK1fHsrvu2ZffT9h3qbKUVW7thqaWihWxX|RWZWUA7K7fPp6zqsvGHbMqeLK1xma9zchF|RDeMft47oqhaL5yvwG4i113cLQ8dYNz9dS|RFqoftP968mUMA44ra3MzN3qNAKoiMGzvN|RN18A2twVbp4jdxu8sPRvgWTF1bqkjsocD|RQLuy46xGmutMFujrdjQVuURtRYk4fZTkt|RCYQyAwJ4QiYBb2tSib9Qz4fb1FcR6JByK|R9xXzLwUKaVoS9VXbivmWt2foP5PKJYbFp|RNnZFSTV5i2TmJMHNwiUt889KFAw7qLCvv|RHHr8a1TuRU3M1v3vptepyTNuC6rDFraTu|RH3BZUSHEV8WdiQcQT9HiX5yW4pPmGPh6T|RQ4iimJgcniMXgevWvUahzt39uMqkmuJcq|RDxHog5xypLoNQs1pMiShdFZZKY62tJMVd|RLrU46pgeqwT7AyYKCyWB2S5dqwz43TgQ1|RKkB7m2gwMeuakzUctcD37EaJZfmJSjpXh|rNguTQ2gcQydFkAfTMUd6hWdm4NY96187q|RCnRqBefRKUjB49UUzN94Dqz5vEAvfaSSD|RAagqykBf6rCPRXdcNME1atrF5kSF3HNGm|RASf2D1JvsBq5Nnit1HWhEfTETv1Zzy1v9|RSQ6m3X5T5qFbe7bdjQWGT3c6WD3SebKMs|RU5bek5QAPxTbf6ooXFUAbEKL98NLkjSsr|RJoGbVRUbR7s98wiVn6NTcViLLAnGNph2b|RH39RGVMxCTLFjauqx8xeaFjszALWu73KU|RHgGagSGSxLyyS5bbtvSr84V9qZJtJS1zg|RYcKtkHomBenSbGrQDNcNkDj4i58hKw1cx|RDox5n3KVq8F2fg4MvPnn5fgezowDoFMDd|REL2GST15LN4Y226qC5uFiP2dEbTSjmWUG|RMjFeP8HKcNjJF2bRvjdpWk3g8xSAc3Yek
21224e08438fae9c3229168d9a56c0e415f6bbaf12383cff801288a086b6db13,4487922,NOT_REPLAYABLE,input-already-spent-elsewhere,,1682.65788451,52,1,False,,RNqSvKnzEzBgt9rUvaWCPBTyNtZRogEpo2
ca8abdd26291dff3c4d61c705b7c925cdaef05035ac1b92d01befb5c7684a9bd,4487922,NOT_REPLAYABLE,input-already-spent-elsewhere,,1725.68950691,53,1,False,,RNqSvKnzEzBgt9rUvaWCPBTyNtZRogEpo2
3c360f2d19fe4131608e7aa9d6160be2f53bd51bd2f25aaebe88aa6b6113599e,4487922,NOT_REPLAYABLE,input-already-spent-elsewhere,,1904.30864076,50,1,False,,RNqSvKnzEzBgt9rUvaWCPBTyNtZRogEpo2
75421d89b57a2c8da38a9f3bb2f2140b734b76c71c8547f39ddba48d63c78666,4487922,NOT_REPLAYABLE,input-already-spent-elsewhere,,912.29740687,51,1,False,,RNqSvKnzEzBgt9rUvaWCPBTyNtZRogEpo2
d04e94ee14c66b3b992fa043a7852baf56238e3d7c0893ef35aa0dbd52d52a6e,4487922,NOT_REPLAYABLE,input-already-spent-elsewhere,,4215.02636791,51,1,False,,RNqSvKnzEzBgt9rUvaWCPBTyNtZRogEpo2
e9cf5fed5fa67b31b9015b4d206e418ad19213c3405538355657c9e8d16163a6,4487922,NOT_REPLAYABLE,input-already-spent-elsewhere,,6409.48014824,50,1,False,,RNqSvKnzEzBgt9rUvaWCPBTyNtZRogEpo2
d5c403bae5233846a644af4da62832ea17d3762485c065ceb9cdd3e62ae27713,4487926,NOT_REPLAYABLE,input-already-spent-elsewhere,,4707.06966548,51,1,False,,RNqSvKnzEzBgt9rUvaWCPBTyNtZRogEpo2
9e1aa1928b3c658692f7ecc0c071debb6d7f322f3f1f8c8f55ebf23280c1283b,4487926,NOT_REPLAYABLE,input-already-spent-elsewhere,,3104.09337121,50,1,False,,RNqSvKnzEzBgt9rUvaWCPBTyNtZRogEpo2
88169043502e5303277726355407f417b9257c9184f35faa409401fcecf3a725,4487929,NOT_REPLAYABLE,depends-on-unreplayable-parent,,120.21167095,1,1,False,,RMKd7jAm9y682pLc6QiHSUFTxZReSRKZfe
